City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,lichinga,-13.3128,35.2406,18.05,100,75,2.06,MZ,1707708143
109,gatesville,31.4352,-97.7439,7.38,87,100,7.2,US,1707708143
110,villa de arista,22.65,-100.8333,18.45,12,100,6.66,MX,1707708144
111,ribeira grande,38.5167,-28.7,17.1,88,1,9.83,PT,1707708145
112,dwarka,22.2394,68.9678,22.27,41,100,5.43,IN,1707708145
113,priozersk,61.0393,30.1291,-9.44,84,41,4.06,RU,1707708146
114,thompson,55.7435,-97.8558,-11.91,92,100,1.54,CA,1707708147
115,midvagur,62.0511,-7.1939,5.46,93,100,5.14,FO,1707708147
116,champerico,14.3,-91.9167,25.48,70,2,2.22,GT,1707708148
117,college,64.8569,-147.8028,-11.82,74,40,1.54,US,1707708079
118,hithadhoo,-0.6,73.0833,27.15,77,70,2.16,MV,1707708082
119,ola,59.5833,151.2833,-19.37,81,100,2.54,RU,1707708150
120,maralal,1.0968,36.698,17.54,59,100,2.99,KE,1707708151
121,tindouf,27.6711,-8.1474,14.25,54,0,3.09,DZ,1707708151
122,goderich,43.7501,-81.7165,1.18,75,99,2.06,CA,1707708043
123,jamestown,42.097,-79.2353,0.77,89,100,0.45,US,1707707990
124,warah,27.4481,67.7978,17.74,16,100,1.38,PK,1707708153
125,sokone,13.8833,-16.3667,23.94,34,0,4.21,SN,1707708154
126,poronaysk,49.2167,143.1167,-10.71,83,98,1.92,RU,1707708154
127,ilulissat,69.2167,-51.1,-18.99,60,90,4.63,GL,1707708155
128,ad douiem,14.0012,32.3116,19.35,14,31,4.5,SD,1707708156
129,mohgaon,21.65,78.7167,21.46,75,89,2.72,IN,1707708156
130,saint-denis,48.9167,2.3333,6.19,93,0,3.09,FR,1707708157
131,nguigmi,14.2495,13.1092,21.18,18,1,4.17,NE,1707708158
132,island harbour,50.724,-1.2758,6.07,91,100,0.89,GB,1707708158
133,polyarnyy,69.1989,33.4478,-20.27,100,100,2.72,RU,1707708159
134,uacu cungo,-11.3634,15.1208,16.72,95,100,0.75,AO,1707708159
135,kharp,66.8014,65.8081,-29.93,91,19,4.69,RU,1707708160
136,chokwe,-24.5333,32.9833,20.42,80,8,2.27,MZ,1707708161
137,toscolano maderno,45.6345,10.6084,9.36,80,97,0.61,IT,1707708161
138,el gouna,27.3942,33.6782,16.33,50,100,0.72,EG,1707708162
139,pemangkat,1.1667,108.9667,26.72,82,100,3.71,ID,1707708162
140,buturlino,55.5667,44.8974,-13.95,90,100,3.61,RU,1707708163
141,albany,42.6001,-73.9662,2.23,76,96,0.89,US,1707708030
142,mermoz boabab,14.7065,-17.4758,21.88,94,0,3.09,SN,1707708164
143,banda aceh,5.5577,95.3222,28.21,74,5,11.78,ID,1707708164
144,kapit,2.0167,112.9333,26.89,86,100,1.07,MY,1707708165
145,beledweyne,4.7358,45.2036,23.28,81,96,3.31,SO,1707708165
146,ciudad lazaro cardenas,17.9583,-102.2,22.88,80,2,2.19,MX,1707708166
147,qaqortoq,60.7167,-46.0333,-15.06,74,95,2.24,GL,1707708167
148,sitka,57.0531,-135.33,2.94,87,100,4.63,US,1707708167
149,horta,38.5333,-28.6333,16.68,88,1,9.83,PT,1707708168
150,sterling,39.0062,-77.4286,9.56,87,100,0.89,US,1707708168
151,olonkinbyen,70.9221,-8.7187,-2.32,63,100,5.56,SJ,1707708169
152,richfield,44.8833,-93.283,2.45,67,100,4.12,US,1707708169
153,tot'ma,59.9747,42.7642,-12.32,96,100,1.86,RU,1707708170
154,rice lake,45.5061,-91.7382,0.82,66,100,4.12,US,1707708170
155,wotho,10.1657,166.0102,26.42,76,93,10.03,MH,1707708171
156,masterton,-40.9597,175.6575,21.72,24,93,1.29,NZ,1707708171
157,avarua,-21.2078,-159.775,28.03,69,40,5.66,CK,1707708172
158,pesqueira,-8.3578,-36.6964,20.72,96,100,4.41,BR,1707708173
159,adrar,20.5022,-10.0711,18.57,37,0,3.3,MR,1707708173
160,moshi,-3.35,37.3333,21.14,78,93,1.32,TZ,1707708174
161,chonchi,-42.6128,-73.8092,10.62,82,1,1.95,CL,1707708174
162,calama,-22.4667,-68.9333,16.27,48,0,2.57,CL,1707708175
163,tambura,5.6,27.4667,24.01,34,99,0.98,SS,1707708175
164,lebu,-37.6167,-73.65,14.14,89,0,6.96,CL,1707708176
165,invercargill,-46.4,168.35,16.68,72,80,5.36,NZ,1707708176
166,porto novo,6.4965,2.6036,25.92,91,24,2.27,BJ,1707708177
167,labasa,-16.4167,179.3833,28.18,88,100,5.27,FJ,1707708177
168,maracaju,-21.6144,-55.1683,24.78,75,87,2.2,BR,1707708178
169,salinopolis,-0.6136,-47.3561,25.92,89,96,4.32,BR,1707708179
170,papatowai,-46.5619,169.4708,17.02,58,88,5.83,NZ,1707708179
171,voss,60.623,6.4229,-3.16,87,100,3.69,NO,1707708180
172,bayganin,48.6947,55.8742,-13.03,83,60,5.26,KZ,1707708180
173,saint-philippe,-21.3585,55.7679,26.77,89,39,4.34,RE,1707708181
174,bhawana,31.5692,72.649,12.88,30,100,1.61,PK,1707708181
175,tura,25.5198,90.2201,19.51,35,2,1.4,IN,1707708182
176,hawaiian paradise park,19.5933,-154.9731,23.82,82,100,5.14,US,1707708048
177,tazovsky,67.4667,78.7,-32.51,99,98,1.77,RU,1707708183
178,vila velha,-20.3297,-40.2925,24.41,94,40,1.34,BR,1707708183
179,rongelap,11.1635,166.8941,26.13,81,90,10.26,MH,1707708184
180,atar,20.5169,-13.0499,20.98,32,0,4.17,MR,1707708185
181,mamuju,-2.6748,118.8885,25.32,93,100,2.08,ID,1707708185
182,merizo village,13.2658,144.6691,30.31,73,51,8.47,GU,1707708186
